Activitysiteid,ClassName,Date,Bookingstarttime,Maxbookees,NumberBooked,Price(Inr)
HXP,20-20-20  2.45Pm-3.45Pm,2018-04-08,14:45:00,25,12,499.0
HXP,20-20-20  2.45Pm-3.45Pm,2018-04-15,14:45:00,25,15,499.0
HXP,20-20-20  2.45Pm-3.45Pm,2018-04-22,14:45:00,25,14,499.0
HXP,20-20-20  2.45Pm-3.45Pm,2018-04-29,14:45:00,25,9,499.0
HXP,20-20-20  2.45Pm-3.45Pm,2018-05-06,14:45:00,25,7,499.0
HXP,20-20-20  2.45Pm-3.45Pm,2018-05-13,14:45:00,25,10,499.0
HXP,20-20-20  2.45Pm-3.45Pm,2018-05-20,14:45:00,25,7,499.0
HXP,20-20-20  2.45Pm-3.45Pm,2018-05-27,14:45:00,25,3,499.0
TSC,20-20-20 7.00-8.00Pm,2018-04-04,19:00:00,24,10,499.0
TSC,20-20-20 7.00-8.00Pm,2018-04-11,19:00:00,24,12,499.0
TSC,20-20-20 7.00-8.00Pm,2018-04-18,19:00:00,24,9,499.0
TSC,20-20-20 7.00-8.00Pm,2018-04-25,19:00:00,24,5,499.0
TSC,20-20-20 7.00-8.00Pm,2018-05-02,19:00:00,24,6,499.0
TSC,20-20-20 7.00-8.00Pm,2018-05-09,19:00:00,24,5,499.0
TSC,20-20-20 7.00-8.00Pm,2018-05-16,19:00:00,24,6,499.0
TSC,20-20-20 7.00-8.00Pm,2018-05-23,19:00:00,24,6,499.0
TSC,20-20-20 7.00-8.00Pm,2018-05-30,19:00:00,24,7,499.0
NBL,20-20-20 9.30-10.30Am,2018-04-03,9:30:00,60,42,499.0
NBL,20-20-20 9.30-10.30Am,2018-04-10,9:30:00,60,34,499.0
NBL,20-20-20 9.30-10.30Am,2018-04-17,9:30:00,60,37,499.0
NBL,20-20-20 9.30-10.30Am,2018-04-24,9:30:00,60,33,499.0
NBL,20-20-20 9.30-10.30Am,2018-05-01,9:30:00,60,34,499.0
NBL,20-20-20 9.30-10.30Am,2018-05-08,9:30:00,60,28,499.0
NBL,20-20-20 9.30-10.30Am,2018-05-15,9:30:00,60,31,499.0
NBL,20-20-20 9.30-10.30Am,2018-05-22,9:30:00,60,31,499.0
NBL,20-20-20 9.30-10.30Am,2018-05-29,9:30:00,60,30,499.0
SBP,20-20-20 9.30-10.30Am,2018-04-04,9:30:00,35,18,499.0
SBP,20-20-20 9.30-10.30Am,2018-04-11,9:30:00,35,12,499.0
SBP,20-20-20 9.30-10.30Am,2018-04-18,9:30:00,35,14,499.0
SBP,20-20-20 9.30-10.30Am,2018-04-25,9:30:00,35,14,499.0
SBP,20-20-20 9.30-10.30Am,2018-05-02,9:30:00,35,12,499.0
SBP,20-20-20 9.30-10.30Am,2018-05-09,9:30:00,35,13,499.0
SBP,20-20-20 9.30-10.30Am,2018-05-16,9:30:00,35,11,499.0
SBP,20-20-20 9.30-10.30Am,2018-05-23,9:30:00,35,14,499.0
SBP,20-20-20 9.30-10.30Am,2018-05-30,9:30:00,35,7,499.0
BRP,20:20:20  10-11 Am,2018-04-03,10:00:00,35,32,499.0
BRP,20:20:20  10-11 Am,2018-04-10,10:00:00,35,26,499.0
BRP,20:20:20  10-11 Am,2018-04-17,10:00:00,35,24,499.0
BRP,20:20:20  10-11 Am,2018-04-24,10:00:00,35,23,499.0
BRP,20:20:20  10-11 Am,2018-05-01,10:00:00,35,22,499.0
BRP,20:20:20  10-11 Am,2018-05-08,10:00:00,35,30,499.0
BRP,20:20:20  10-11 Am,2018-05-15,10:00:00,35,18,499.0
BRP,20:20:20  10-11 Am,2018-05-22,10:00:00,35,24,499.0
BRP,20:20:20  10-11 Am,2018-05-29,10:00:00,35,28,499.0
BRP,20:20:20  10.00-11.00Am,2018-04-05,10:00:00,35,25,499.0
BRP,20:20:20  10.00-11.00Am,2018-04-12,10:00:00,35,23,499.0
BRP,20:20:20  10.00-11.00Am,2018-04-19,10:00:00,35,21,499.0
BRP,20:20:20  10.00-11.00Am,2018-04-26,10:00:00,35,29,499.0
BRP,20:20:20  10.00-11.00Am,2018-05-03,10:00:00,35,20,499.0
BRP,20:20:20  10.00-11.00Am,2018-05-10,10:00:00,35,24,499.0
BRP,20:20:20  10.00-11.00Am,2018-05-17,10:00:00,35,29,499.0
BRP,20:20:20  10.00-11.00Am,2018-05-31,10:00:00,35,14,499.0
HXP,20:20:20  11Am -12Noon,2018-04-07,11:00:00,25,10,499.0
HXP,20:20:20  11Am -12Noon,2018-04-14,11:00:00,25,10,499.0
HXP,20:20:20  11Am -12Noon,2018-04-28,11:00:00,25,11,499.0
HXP,20:20:20  11Am -12Noon,2018-05-05,11:00:00,25,13,499.0
HXP,20:20:20  11Am -12Noon,2018-05-12,11:00:00,25,16,499.0
HXP,20:20:20  11Am -12Noon,2018-05-19,11:00:00,25,10,499.0
HXP,20:20:20  11Am -12Noon,2018-05-26,11:00:00,25,6,499.0
BRP,20:20:20  9.30-10.30Am,2018-04-06,9:30:00,35,26,499.0
BRP,20:20:20  9.30-10.30Am,2018-04-13,9:30:00,35,20,499.0
BRP,20:20:20  9.30-10.30Am,2018-04-20,9:30:00,35,30,499.0
BRP,20:20:20  9.30-10.30Am,2018-04-27,9:30:00,35,27,499.0
BRP,20:20:20  9.30-10.30Am,2018-05-04,9:30:00,35,33,499.0
BRP,20:20:20  9.30-10.30Am,2018-05-11,9:30:00,35,34,499.0
BRP,20:20:20  9.30-10.30Am,2018-05-18,9:30:00,35,32,499.0
BRP,20:20:20  9.30-10.30Am,2018-05-25,9:30:00,35,29,499.0
NBL,20:20:20 9.30-10.30Am,2018-04-05,9:30:00,60,22,499.0
NBL,20:20:20 9.30-10.30Am,2018-04-19,9:30:00,60,14,499.0
NBL,20:20:20 9.30-10.30Am,2018-04-26,9:30:00,60,14,499.0
NBL,20:20:20 9.30-10.30Am,2018-05-03,9:30:00,60,16,499.0
NBL,20:20:20 9.30-10.30Am,2018-05-10,9:30:00,60,14,499.0
NBL,20:20:20 9.30-10.30Am,2018-05-17,9:30:00,60,14,499.0
NBL,20:20:20 9.30-10.30Am,2018-05-24,9:30:00,60,18,499.0
